p_useful,p_noise,p_total,rho_A0,rho_A,rho_HN,rho_EBT,tau2,w_mean,var_HN,var_A0,seed,n_builds
13,6,19,0.38734718367959203,0.30771019275481887,0.6779089477236933,0.6779089477236933,0.009015471062250688,0.3209203181220706,0.02829387284830545,0.053493178058805955,4,200
13,12,25,0.38734718367959203,0.30771019275481887,0.6649381234530863,0.6649381234530863,0.008198192342793294,0.3005723147967201,0.02868205337606719,0.053493178058805955,4,200
20,0,20,0.38734718367959203,0.30771019275481887,0.6934643366084152,0.6934643366084152,0.007294794289514583,0.27661263887017024,0.029139134078161436,0.053493178058805955,4,200
20,2,22,0.38734718367959203,0.30771019275481887,0.7065671641791046,0.7065671641791046,0.00830466161516721,0.30329192088889334,0.0286301712276674,0.053493178058805955,4,200
20,6,26,0.38734718367959203,0.30771019275481887,0.661324533113328,0.661324533113328,0.00642756105296163,0.2520153307867748,0.029608378941190977,0.053493178058805955,4,200
20,12,32,0.38734718367959203,0.30771019275481887,0.6636300907522689,0.6636300907522689,0.0061293452071654216,0.2431659655423052,0.02977719900751533,0.053493178058805955,4,200
0,0,0,0.42494412360309014,0.3933863346583665,0.42494412360309014,0.42494412360309014,,1.0,0.033607068137099516,0.033607068137099516,5,200
0,2,2,0.42494412360309014,0.3933863346583665,0.4211565289132229,0.4211565289132229,0.012457391290190488,0.3734348704604126,0.00490015283455711,0.033607068137099516,5,200
0,6,6,0.42494412360309014,0.3933863346583665,0.3792394809870247,0.3792394809870247,0.01180437240150746,0.36092463208109743,0.00516163618647552,0.033607068137099516,5,200
0,12,12,0.42494412360309014,0.3933863346583665,0.38118352958823976,0.38118352958823976,0.010796027785931542,0.3405947430026802,0.005586562345288251,0.033607068137099516,5,200
1,0,1,0.42494412360309014,0.3933863346583665,0.6461606540163505,0.6461606540163505,0.00715890551893273,0.255124366885882,0.007373025541201471,0.033607068137099516,5,200
1,2,3,0.42494412360309014,0.3933863346583665,0.6042601065026627,0.6042601065026627,0.005544892711273855,0.20966498689742835,0.008323196968403668,0.033607068137099516,5,200
1,6,7,0.42494412360309014,0.3933863346583665,0.6783664591614792,0.6783664591614792,0.006494840570812725,0.2370692209788784,0.007750406045712516,0.033607068137099516,5,200
1,12,13,0.42494412360309014,0.3933863346583665,0.5687272181804546,0.5687272181804546,0.005414492659181085,0.20574875470353107,0.00840505228481747,0.033607068137099516,5,200
2,0,2,0.42494412360309014,0.3933863346583665,0.7198514962874072,0.7198514962874072,0.0063356847551613825,0.23261117378636492,0.00784358613449773,0.033607068137099516,5,200
2,2,4,0.42494412360309014,0.3933863346583665,0.7263466586664667,0.7263466586664667,0.0044284744279017504,0.1748310482322388,0.009051280220418623,0.033607068137099516,5,200
2,6,8,0.42494412360309014,0.3933863346583665,0.7234065851646292,0.7234065851646292,0.0034784350484295713,0.14267585816469566,0.009723373479195921,0.033607068137099516,5,200
2,12,14,0.42494412360309014,0.3933863346583665,0.5987729693242332,0.5987729693242332,0.005272536343104685,0.20144109763380713,0.00849508898718511,0.033607068137099516,5,200
4,0,4,0.42494412360309014,0.3933863346583665,0.7493572339308483,0.7493572339308483,0.0033857546066625895,0.13940430592775852,0.009791753986341543,0.033607068137099516,5,200
4,2,6,0.42494412360309014,0.3933863346583665,0.7138693467336683,0.7138693467336683,0.00265794266013291,0.11281833987540207,0.010347441840287925,0.033607068137099516,5,200
4,6,10,0.42494412360309014,0.3933863346583665,0.772414310357759,0.772414310357759,0.0021489112558501916,0.09322639530191278,0.01075694381637707,0.033607068137099516,5,200
